title,company,ratings,reviews,experience,salary,location,days_posted,tags,job_simp,post,salary_mentioned,reviews_int,min_experience,max_experience,avg_experience,days_posted_int,bangalore,delhi,kolkata,mumbai,remote,gurgaon,hyderabad,noida,pune,python,sql,deep_learning,big_data,r,nlp,sas,git,tensorflow,pytorch,tableau,power_bi,apache,c++
Data Scientist,Adidas,4.2,337 Reviews,2-7 Yrs,Not disclosed,Gurgaon/Gurugram,19 Days Ago, process coding data analysis sql python visual studio analytics processing,data scientist,na,0,337,2,7,4.5,19,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Junior Data Scientist,Adidas,4.2,337 Reviews,1-6 Yrs,Not disclosed,Gurgaon/Gurugram,20 Days Ago, marketing data modeling modeling business administration analytics wholesale analytical data analysis,data scientist,junior,0,337,1,6,3.5,20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist || Immediate Joiner,Sun Life,4.4,403 Reviews,8-13 Yrs,Not disclosed,Gurgaon/Gurugram,19 Days Ago, Data Science SAS Tableau Python data science,data scientist,na,0,403,8,13,10.5,19,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
Manager-Data Science,AMERICAN EXPRESS,4.4,2040 Reviews,3-6 Yrs,Not disclosed,Gurgaon/Gurugram,24 Days Ago, mathematics data science monitoring management science technology machine learning credit,manager,na,0,2040,3,6,4.5,24,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Junior Data Scientist,Adidas,4.2,337 Reviews,1-3 Yrs,Not disclosed,Gurgaon/Gurugram,30+ Days Ago, media analytical analytics process computer science econometrics data analysis data,data scientist,junior,0,337,1,3,2.0,30,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Senior Data Scientist, AI CoE",Boston Consulting Group,4.0,161 Reviews,4-6 Yrs,Not disclosed,New Delhi,30+ Days Ago, data quality management quality management machine sql senior assurance,data scientist,senior,0,161,4,6,5.0,30,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Senior Data Scientist / Senior ML Engineer,Agile Airport Services,3.9,66 Reviews,2-8 Yrs,Not disclosed,Gurgaon/Gurugram,30+ Days Ago, gcp machine learning data analytics programming python data science coding,data scientist,senior,0,66,2,8,5.0,30,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Analyst-Data Science,AMERICAN EXPRESS,4.4,2040 Reviews,1-5 Yrs,Not disclosed,Gurgaon/Gurugram,30+ Days Ago, sql machine learning forecasting data business strategy science predictive sas,analyst,na,0,2040,1,5,3.0,30,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Analyst - Risk Management II,AMERICAN EXPRESS,4.4,2040 Reviews,1-5 Yrs,Not disclosed,Gurgaon/Gurugram,30+ Days Ago, data science marketing customer profitability analytical machine analytics data software testing,analyst,na,0,2040,1,5,3.0,30,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Principal Data Scientist,Bharatpe,3.7,166 Reviews,5-8 Yrs,Not disclosed,Gurgaon/Gurugram,30+ Days Ago, forecasting nosql machine learning financial services analysis consulting machine mysql,data scientist,senior,0,166,5,8,6.5,30,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist,M/s. Orange Business Services,4.3,963 Reviews,8-10 Yrs,Not disclosed,Gurgaon/Gurugram,30+ Days Ago, sql machine learning python machine operations management deep learning operations process,data scientist,na,0,963,8,10,9.0,30,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Data Scientist Intern,BYJUS,3.4,14304 Reviews,0-1 Yrs,Not disclosed,Permanent Remote,1 Day Ago, excel dbms data statistics database handling handling python r,data scientist,na,0,14304,0,1,0.5,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Science Specialist,Accenture,4.1,34218 Reviews,2-4 Yrs,Not disclosed,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",28 Days Ago, Product management Change management Consulting Machine learning Python management business process intelligence,na,na,0,34218,2,4,3.0,28,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Analystics & Modeling Specialist,Accenture,4.1,34218 Reviews,6-8 Yrs,Not disclosed,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",28 Days Ago, Bfsi Consulting Machine learning Open source Python modeling market research sourcing,analyst,na,0,34218,6,8,7.0,28,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist,Citicorp Finance,3.8,1047 Reviews,7-12 Yrs,Not disclosed,"Hybrid - Pune, Bangalore/Bengaluru",2 Days Ago, Logistic Regression data regression machine learning algorithms data science modeling machine languages,data scientist,na,0,1047,7,12,9.5,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Job | Hiring For Data scientist- Gurgaon,Orange Business Services,4.3,963 Reviews,3-7 Yrs,Not disclosed,Gurgaon/Gurugram,10 Days Ago, Machine Learning languages processing process machine hiring data natural language processing,data scientist,na,0,963,3,7,5.0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Senior /Lead, Data Science - AI/ML",Srijan Technologies Pvt. Ltd.,4.5,56 Reviews,3-7 Yrs,Not disclosed,"Kolkata, Indore, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Ahmedabad, Gurgaon/Gurugram, Jaipur, Bangalore/Bengaluru",30+ Days Ago, drupal computation senior data analysis artificial intelligence machine learning python analysis,mle,senior,0,56,3,7,5.0,30,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TransOrg Analytics - Data Scientist,TransOrg,2.1,23 Reviews,3-6 Yrs,Not disclosed,"Mumbai, Gurgaon/Gurugram, Delhi / NCR, Bangalore/Bengaluru",13 Days Ago, TransOrg data mining analytics sql data analysis data analysis python,data scientist,na,0,23,3,6,4.5,13,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Sr. Data scientist,Tata Consultancy Services (TCS),3.9,54038 Reviews,7-12 Yrs,Not disclosed,"Hyderabad/Secunderabad, Bangalore/Bengaluru, Mumbai (All Areas)",28 Days Ago, data science model building machine learning data machine sr science building,data scientist,senior,0,54038,7,12,9.5,28,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist,IBM,4.2,15996 Reviews,3-6 Yrs,Not disclosed,Bangalore/Bengaluru,Few Hours Ago, Architecture Business analysis Information security Deployment Open source model validation deep learning process analysis,data scientist,na,0,15996,3,6,4.5,7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Sr SDE - Digital/Video Analytics,Unify Technologies,3.7,79 Reviews,4-8 Yrs,Not disclosed,Gurgaon/Gurugram,1 Day Ago, Video Analytics Artificial Intelligence Machine Learning Digital Analytics Python sde computer vision natural language processing,na,senior,0,79,4,8,6.0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
Data Scientist,R Systems International,3.6,576 Reviews,4-7 Yrs,Not disclosed,Noida(Sector-59 Noida),18 Days Ago, deep learning tensorflow Natural Language Processing Data Mining Python data machine pytorch,data scientist,na,0,576,4,7,5.5,18,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0
Sr Data Scientist,Gartner,4.1,184 Reviews,5-6 Yrs,Not disclosed,Gurgaon/Gurugram,27 Days Ago, data science management science computation product management machine learning data mining cloud computing,data scientist,senior,0,184,5,6,5.5,27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist,Extramarks Education,3.6,1470 Reviews,3-5 Yrs,5-15 Lacs PA,"Noida(Sector-136 Noida), Ghaziabad, Greater Noida, Delhi / NCR",30+ Days Ago, Natural Language Processing Neural Networks Machine Learning Deep Learning Python chatbots data deep neural networks,data scientist,na,1,1470,3,5,4.0,30,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
Senior Data Scientist - Machine Learning | Pepsico,Talent500,2.8,7 Reviews,4-7 Yrs,Not disclosed,"Hyderabad/Secunderabad, Gurgaon/Gurugram, Bangalore/Bengaluru",13 Days Ago, Machine Learning Python senior aws sql data machine,data scientist,senior,0,7,4,7,5.5,13,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Analyst / Analytics Specialist ( Data Scientist),TransOrg,2.1,23 Reviews,2-6 Yrs,Not disclosed,"Mumbai, Pune, Gurgaon/Gurugram",13 Days Ago, Data analysis python statistical modeling data mining data modeling modeling trend analytics,data scientist,na,0,23,2,6,4.0,13,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist,MRI Software,4.2,18 Reviews,4-7 Yrs,Not disclosed,"Pune, Gurgaon/Gurugram, Bangalore/Bengaluru, Vadodara",30+ Days Ago, mysql scripting sql analysis shell scripting computer monitoring data analysis,data scientist,na,0,18,4,7,5.5,30,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist,Tredence,3.8,182 Reviews,2-5 Yrs,Not disclosed,"Hybrid - Pune, Gurgaon/Gurugram, Chennai, Bangalore/Bengaluru",30+ Days Ago, python machine learning statistical modeling deep learning modeling statistics machine process,data scientist,na,0,182,2,5,3.5,30,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Staff Data Scientist,Baker Hughes,4.2,322 Reviews,10-12 Yrs,Not disclosed,"Mumbai, Bangalore/Bengaluru",24 Days Ago, management computer vision technology management collections advanced analytics analysis deep learning computer,data scientist,na,0,322,10,12,11.0,24,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Analyst/ Analytics Specialist (Data Scientist),TransOrg,2.1,23 Reviews,2-6 Yrs,Not disclosed,"Mumbai, Gurgaon/Gurugram",7 Days Ago, Python analysis r data mining quantitative analysis quantitative analytics sql,data scientist,na,0,23,2,6,4.0,7,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Data Scientist (Associate / Assistant Vice President),Deutsche Bank,4.2,2208 Reviews,10-16 Yrs,Not disclosed,"Jaipur, Bangalore/Bengaluru",7 Days Ago, SQL Server Development SQL Development Tableau assistance server side development sql serv data,data scientist,junior,0,2208,10,16,13.0,7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Senior Advisory Data Scientist,IBM,4.2,15996 Reviews,10-15 Yrs,Not disclosed,Bangalore/Bengaluru,4 Days Ago, Supply chain Analytical Open source SQL Python data science science git,data scientist,senior,0,15996,10,15,12.5,4,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
Senior Data Scientist,IBM,4.2,15996 Reviews,6-8 Yrs,Not disclosed,Bangalore/Bengaluru,4 Days Ago, deep learning Analytical Machine learning SQL Python data science science open source,data scientist,senior,0,15996,6,8,7.0,4,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Advisory Data Scientist,IBM,4.2,15996 Reviews,4-8 Yrs,Not disclosed,Bangalore/Bengaluru,4 Days Ago, data science Machine learning Spark big data SQL reliability engineering engineering pytorch,data scientist,na,0,15996,4,8,6.0,4,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
Senior Advisory Data Scientist,IBM,4.2,15996 Reviews,10-14 Yrs,Not disclosed,Bangalore/Bengaluru,4 Days Ago, reliability engineering machine learning SQL Python engineering data advisory git,data scientist,senior,0,15996,10,14,12.0,4,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
Advisory Data Scientist,IBM,4.2,15996 Reviews,4-8 Yrs,Not disclosed,Bangalore/Bengaluru,4 Days Ago, data science reliability engineering machine learning SQL Python engineering deep learning machine,data scientist,na,0,15996,4,8,6.0,4,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Data Scientist,Capgemini,3.9,25395 Reviews,3-5 Yrs,Not disclosed,Bangalore/Bengaluru,4 Days Ago, data science deep learning matlab machine learning python tableau pandas hadoop,data scientist,na,0,25395,3,5,4.0,4,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
"Principal, Data Scientist",AT&T,4.3,315 Reviews,5-8 Yrs,Not disclosed,Bangalore/Bengaluru,4 Days Ago, management team building team building training workflow monitoring sql,data scientist,senior,0,315,5,8,6.5,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Assistant Vice President,EXL,3.9,5532 Reviews,10-16 Yrs,Not disclosed,Bangalore/Bengaluru,6 Days Ago, data science networking deep learning machine assistance model development data deployment,na,na,0,5532,10,16,13.0,6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Data Scientist,A.P. Moller Maersk,4.4,2393 Reviews,5-10 Yrs,8-14 Lacs PA,Hybrid - Bangalore/Bengaluru,6 Days Ago, Data Science python Machine Learning intelligence artificial intelligence machine data aiml,data scientist,na,1,2393,5,10,7.5,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Intern (Technical-Engineering),Synopsys (india),4.2,171 Reviews,0-2 Yrs,Not disclosed,Bangalore/Bengaluru,3 Days Ago, python data science science machine learning intelligence big data analytics artificial intelligence analytics,na,na,0,171,0,2,1.0,3,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Data Scientist,IB Services &amp;amp; Technologies,3.1,2 Reviews,2-4 Yrs,Not disclosed,"Noida, Mumbai, Pune",30+ Days Ago, sql machine learning cloud computing data deployment machine architecture deep learning,data scientist,na,0,2,2,4,3.0,30,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Job Opening Data Scientist role @ GlobalData (Hyd),Globaldata,3.9,336 Reviews,0-2 Yrs,Not disclosed,"Hybrid - Hyderabad/Secunderabad, Kondapur",7 Days Ago, python natural language processing Data Scientist market research machine learning research statistics processing,data scientist,na,0,336,0,2,1.0,7,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Data Science - Deputy Manager,Vodafone,4.2,13574 Reviews,3-8 Yrs,10-20 Lacs PA,Hybrid - Pune(Viman Nagar),Just Now, Data Science python statistical modeling deep learning modeling statistics pyspark analytics,manager,na,1,13574,3,8,5.5,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Data Scientist,Capgemini,3.9,25395 Reviews,6-10 Yrs,Not disclosed,Mumbai,4 Days Ago, Data Scientist microsoft visual studio data warehousing power bi sql microsoft azure data,data scientist,na,0,25395,6,10,8.0,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Data Scientist Tableau,Capgemini,3.9,25395 Reviews,5-10 Yrs,Not disclosed,Mumbai,4 Days Ago, Tableau engineering data science data engineering data big data data structures science,data scientist,na,0,25395,5,10,7.5,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"Data Scientist @ Vidya Vihar,  Mumbai",Metropolis Healthcare,4.1,528 Reviews,2-7 Yrs,Not disclosed,Mumbai (All Areas),5 Days Ago, advance sql python power bi Tableau bi sql data science,data scientist,na,0,528,2,7,4.5,5,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0
Data Specialist,Telstra,4.1,107 Reviews,2-5 Yrs,Not disclosed,Bangalore/Bengaluru,13 Days Ago, Power Bi vba bi sql sas data hfr smartview,na,na,0,107,2,5,3.5,13,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
Data Scientist,Techneplus,3.9,8 Reviews,3-8 Yrs,Not disclosed,"Noida, Bangalore/Bengaluru",20 Days Ago, computer data mining resource allocation analytics sas computer science sql improvement,data scientist,na,0,8,3,8,5.5,20,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
ASSOCIATE DATA SCIENTIST,Hinduja Global Solutions (HGS),4.0,6198 Reviews,1-3 Yrs,Not disclosed,Bangalore/Bengaluru,10 Days Ago, microsoft data mining text mining oracle big data mysql sql data,data scientist,junior,0,6198,1,3,2.0,10,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Data Scientist - M & T,Accolite Software India Pvt Ltd,3.8,387 Reviews,8-9 Yrs,Not disclosed,Bangalore/Bengaluru,11 Days Ago, coding automation research t linear regression machine computer science data,data scientist,na,0,387,8,9,8.5,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist,Gartner India Research &amp; Advisory Services Pvt Ltd,4.1,184 Reviews,2-7 Yrs,Not disclosed,Gurgaon/Gurugram,30+ Days Ago, collections analytical recruitment analytics data econometrics data analysis financial services,data scientist,na,0,184,2,7,4.5,30,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AVP - Data Scientist.,Aye Finance,4.3,768 Reviews,2-6 Yrs,6-10 Lacs PA,Gurgaon/Gurugram,21 Days Ago, python Data Engineering Docker Deployment engineering data pipeline data avp,data scientist,na,1,768,2,6,4.0,21,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Engineer/Assistant Manager - Data Scientist,Goods and Services Tax Network (GSTN),4.2,12 Reviews,2-7 Yrs,Not disclosed,Delhi / NCR,1 Day Ago, Java Tsql Queries Python SQL engineering assistance data t-sql,data scientist,na,0,12,2,7,4.5,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
